001325-0001	Highly recommended
255736-0001	Remember seeing "Stop Making Sense" at Cinema 21 multiple times!
255736-0002	YAY, great theater!!!
255757-0001	they recovered the pics geeksquad deleted.
255757-0002	many thanks
256677-0001	Love Hop City
256677-0002	This place is great!
256677-0003	Craig and Nate are wonderful.
256677-0004	I know now where to get all of my wine and beer.
256677-0005	No need to go to a grocer again.
257296-0001	Course has come a long way!!
257296-0002	HCC's new nine was a little shaky at first, but the NEW grounds superintendant has done wonders for the course!!
257296-0003	The comment below definitely needs to be retracted!
257296-0004	Come back and give HCC a second chance at least!
257296-0005	It is a great course for local golfers to be proud of and all the comments in 2008 have been very positive!!
257735-0001	Don't waste your money on the jukebox
257735-0002	The bartender is a douchebag and he has a little console behind the bar where he can delete songs he doesn't like, and you end up paying for it.
257735-0003	Not enough seating.
258042-0001	Lovley food and fab chips
260640-0001	I wouldn't send my dogs there.
260640-0002	I had a conversation with the woman running this place in April 2010.
260640-0003	She basically said if the children getting off the bus aren't paying to enter her building she was going to let them wander around the streets.
260640-0004	Wow, really?
260640-0005	With all the child predators out there, a busy road, cars speeding by...... and you are going to let some 4/5 year olds wonder around cause you're money hungry?
260640-0006	REAL CHRISTIAN OF YOU!!!!!!!!!!!!!!!!!!
260640-0007	Whether they pay me or not, if their parents get into an accident, stuck in traffic, etc. THE LAST THING I WOULD DO IS LET A CHILD GET RAPED BECAUSE I WASN'T PAID.
262422-0001	Good local bikeshop
262422-0002	Good local bike shop .
262422-0003	Jason and the boys can do about anything you need.
262422-0004	The shop is located just off the river road .
262441-0001	I phoned this company for advice on our office refurb and although we did not use them in the end(as our building contractor carried out the electrical work), they provided me with plenty of useful information over an hour phone call and subsequently we are now using PJC as our electrical maintenance contractor.
262441-0002	Thoroughly recommended
262722-0001	recommended
262722-0002	Excellent location.
262722-0003	Good sports bar.
262722-0004	Hyatt web site improved.
262722-0005	Accurate check-out.
262722-0006	Rooms clean.
262722-0007	Lifts quick, clean, accurate, and correctly sized.
262722-0008	Choose this hotel over the Hilton (which is on the next block).
263630-0001	Orr's a nightmare!
263630-0002	DON'T GO!
263630-0003	My boyfriend and I were woken up in the middle of the night at our campsite by drunken kids who'd arrived around 1:00 am and were drinking at the springs.
263630-0004	When we complained to the management (as we were instructed to do if there were any problems), nothing happened!
263630-0005	Then, the next morning, when we, among many other irate guests, asked to speak to the owner, he refused to do so.
263630-0006	Not only that, but he told us, via his manager, that it was our responsibility to get up a second time in the middle of the night and call the night staff if the problem continued, even though his manager did nothing the first time to stop the kids.
263630-0007	Orr is not relaxing, it's not a safe space, and the owner is awful.
263630-0008	To add insult to injury, he refused to refund our money.
263630-0009	Don't go!
263830-0001	Nice teachers good school
263830-0002	They are very good teachers and nice people to meet here.
263830-0003	I enjoyed very much to study here.
263830-0004	A good place to improve your English
263870-0001	Believe me.
263870-0002	This is THE premier university in Virginia.
263870-0003	It is also the largest.
263870-0004	With a Pizza Hut, IHOP, 3 Starbucks, Chilis, Panera, and Chipotle on campus ALONE, VCU has some of the best eating options for students.
263870-0005	VCU has the #1 art school in America, and EXCELS in healthcare and medical schooling.
263870-0006	The Rams, the VCU sports team, also made the NCAA Final 4 this year, too!
263870-0007	VCU also offers high-rise living for students and professors, and the historic yet fixed-up houses in the Fan are also available to students, professors, or even people wanting to live in a safe, viable community.
263870-0008	VCU is also minutes from Downtown Richmond, Canal Walk, Carytown, Stony Point, Short Pump, and the VCU Medical Center.
263870-0009	It is the best university in Virginia and continuously receives rave reviews every year.
263870-0010	The U of R is also recommended, too!
263909-0001	Great Service Great People
263909-0002	Bisconti wanted over $300 to fix my laptop and these guys fixed it for $90!
263909-0003	Call them today!
263909-0004	Had it fixed within a few days (had to order a part).
264993-0001	An Hour Of Prego Bliss!
264993-0002	I schedule my weekly appointment here just to get a chance to lie comfortably on my tummy.
264993-0003	And the massages are heavenly!
264993-0004	Very friendly place.
266591-0001	Best Chineese food in the area
266591-0002	The food here is fresh and hot out of the Wok.
266591-0003	The food is cooked fast by the two chefs on duty.
266591-0004	The lunch specials are more food than most people can eat for about $6.
266591-0005	It is busy every day at lunch for a reason, the service is fast and the food is great.
266676-0001	Thanks For A Great Job
266676-0002	Thanks For The Prompt Service And Great Job You And Your Boys Have Done On Our New Solar System, The Panels On The Roof Look Great And The Power We Are Putting Back In To The Grid Is Great, Great Job Thanks
266955-0001	The finest German bedding and linens store.
266955-0002	Quality and service come first here.
267732-0001	So very delicious!
267732-0002	Excellent!
267732-0003	November 7, 2010 First time eating at Caffe Bella Italia and it was a wonderful experience.
267732-0004	From the delectable Antipasto Misto to the Spaghetti alla Barese and the Parmigiana and ending with gelato, all was mouth watering.
267732-0005	Too bad they were out of the Chocolate Lava Cake.
267732-0006	Maybe next time they will have it.
267732-0007	Service was excellent!
267732-0008	Sandy
267793-0001	Great Doc
267793-0002	Dr Greenwalt fixed my neck from a snowboard injury and was way more effective that a regular doctor.
